,id,year,overall_pick,team,player,nationality,position,age,to_year,amateur_team,games_played,goals,assists,points,plus_minus,penalties_minutes,point_shares
225,226,2021,1,Buffalo Sabres,Owen Power,CA,D,18.0,2022.0,Michigan (Big Ten),8.0,2.0,1.0,3.0,3.0,2.0,0.9
226,227,2021,2,Seattle Kraken,Matthew Beniers,US,C,18.0,2022.0,Michigan (Big Ten),10.0,3.0,6.0,9.0,-1.0,0.0,0.9
227,228,2021,3,Anaheim Ducks,Mason Mctavish,CH,C,18.0,2022.0,Peterborough Petes (OHL),9.0,2.0,1.0,3.0,3.0,2.0,0.4
229,230,2021,5,Columbus Blue Jackets,Kent Johnson,CA,C,18.0,2022.0,Michigan (Big Ten),9.0,0.0,3.0,3.0,2.0,2.0,0.2
231,232,2021,7,San Jose Sharks,William Eklund,SE,LW,18.0,2022.0,Djurgardens IF (Sweden),9.0,0.0,4.0,4.0,-3.0,2.0,0.1
235,236,2021,12,Columbus Blue Jackets,Cole Sillinger,US,C,18.0,2022.0,Sioux Falls Stampede (USHL),79.0,16.0,15.0,31.0,-22.0,37.0,1.9
283,284,2021,60,Arizona Coyotes,Janis Moser,CH,D,21.0,2022.0,EHC Biel-Bienne (Swiss),43.0,4.0,11.0,15.0,-10.0,16.0,2.0
448,449,2020,1,New York Rangers,Alexis Lafreniere,CA,LW,18.0,2022.0,Rimouski Oceanic (QMJHL),135.0,31.0,21.0,52.0,-5.0,45.0,5.0
449,450,2020,2,Los Angeles Kings,Quinton Byfield,CA,C,18.0,2022.0,Sudbury Wolves (OHL),46.0,5.0,6.0,11.0,-6.0,22.0,0.5
450,451,2020,3,Ottawa Senators,Tim Stützle,DE,LW,18.0,2022.0,Adler Mannheim (Germany),132.0,34.0,53.0,87.0,-45.0,51.0,7.0
451,452,2020,4,Detroit Red Wings,Lucas Raymond,SE,LW,18.0,2022.0,Frolunda HC (Sweden),82.0,23.0,34.0,57.0,-32.0,16.0,4.2
453,454,2020,6,Anaheim Ducks,Jamie Drysdale,CA,D,18.0,2022.0,Erie Otters (OHL),105.0,7.0,33.0,40.0,-38.0,22.0,4.5
454,455,2020,7,New Jersey Devils,Alexander Holtz,SE,RW,18.0,2022.0,Djurgardens IF (Sweden),9.0,0.0,2.0,2.0,-5.0,2.0,-0.2
455,456,2020,8,Buffalo Sabres,Jack Quinn,CA,RW,18.0,2022.0,Ottawa 67's (OHL),2.0,1.0,1.0,2.0,0.0,0.0,0.2
456,457,2020,9,Minnesota Wild,Marco Rossi,AT,C,18.0,2022.0,Ottawa 67's (OHL),2.0,0.0,0.0,0.0,-1.0,4.0,-0.1
457,458,2020,10,Winnipeg Jets,Cole Perfetti,CA,C,18.0,2022.0,Saginaw Spirit (OHL),18.0,2.0,5.0,7.0,1.0,0.0,0.5
459,460,2020,12,Florida Panthers,Anton Lundell,FI,C,18.0,2022.0,HIFK (Finland),65.0,18.0,26.0,44.0,33.0,18.0,5.0
460,461,2020,13,Carolina Hurricanes,Seth Jarvis,CA,C,18.0,2022.0,Portland Winterhawks (WHL),68.0,17.0,23.0,40.0,11.0,18.0,4.3
464,465,2020,17,Chicago Blackhawks,Lukas Reichel,DE,LW,18.0,2022.0,Eisbaren Berlin (Germany),11.0,0.0,1.0,1.0,-8.0,0.0,-0.4
465,466,2020,18,New Jersey Devils,Dawson Mercer,CA,C,18.0,2022.0,Chicoutimi Sagueneens (QMJHL),82.0,17.0,25.0,42.0,-25.0,28.0,2.6
466,467,2020,19,New York Rangers,Braden Schneider,CA,D,18.0,2022.0,Brandon Wheat Kings (WHL),43.0,2.0,9.0,11.0,5.0,9.0,2.4
468,469,2020,21,Columbus Blue Jackets,Yegor Chinakhov,RU,RW,19.0,2022.0,Omskie Yastreby (Russia Jr.),62.0,7.0,7.0,14.0,-27.0,16.0,-0.3
469,470,2020,22,Washington Capitals,Hendrix Lapierre,CA,C,18.0,2022.0,Chicoutimi Sagueneens (QMJHL),6.0,1.0,0.0,1.0,2.0,2.0,0.2
472,473,2020,25,Colorado Avalanche,Justin Barron,CA,D,18.0,2022.0,Halifax Mooseheads (QMJHL),7.0,1.0,1.0,2.0,-3.0,0.0,0.2
473,474,2020,26,St. Louis Blues,Jake Neighbours,CA,LW,18.0,2022.0,Edmonton Oil Kings (WHL),9.0,1.0,1.0,2.0,-2.0,2.0,0.1
474,475,2020,27,Anaheim Ducks,Jacob Perreault,CA,RW,18.0,2022.0,Sarnia Sting (OHL),1.0,0.0,0.0,0.0,-1.0,0.0,-0.1
481,482,2020,34,Buffalo Sabres,John-Jason Peterka,DE,RW,18.0,2022.0,EHC Munchen (Germany),2.0,0.0,0.0,0.0,0.0,0.0,0.0
485,486,2020,38,San Jose Sharks,Thomas Bordeleau,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),8.0,0.0,5.0,5.0,-1.0,0.0,0.3
530,531,2020,84,New Jersey Devils,Nicolas Daws,DE,G,19.0,2022.0,Guelph Storm (OHL),25.0,0.0,0.0,0.0,0.0,0.0,2.5
587,588,2020,141,Chicago Blackhawks,Isaak Phillips,CA,D,18.0,2022.0,Sudbury Wolves (OHL),4.0,0.0,0.0,0.0,-1.0,4.0,0.0
627,628,2020,181,Ottawa Senators,Cole Reinhardt,CA,LW,20.0,2022.0,Brandon Wheat Kings (WHL),1.0,0.0,0.0,0.0,0.0,2.0,0.0
647,648,2020,201,San Jose Sharks,Adam Raska,CZ,RW,18.0,2022.0,Rimouski Oceanic (QMJHL),5.0,0.0,0.0,0.0,1.0,7.0,0.0
664,665,2019,1,New Jersey Devils,Jack Hughes,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),166.0,44.0,64.0,108.0,-45.0,26.0,8.5
665,666,2019,2,New York Rangers,Kaapo Kakko,FI,RW,18.0,2022.0,TPS (Finland),157.0,26.0,32.0,58.0,-14.0,34.0,3.8
666,667,2019,3,Chicago Blackhawks,Kirby Dach,CA,C,18.0,2022.0,Saskatoon Blades (WHL),152.0,19.0,40.0,59.0,-22.0,71.0,3.0
667,668,2019,4,Colorado Avalanche,Bowen Byram,CA,D,18.0,2022.0,Vancouver Giants (WHL),49.0,5.0,14.0,19.0,8.0,35.0,3.4
668,669,2019,5,Los Angeles Kings,Alex Turcotte,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),8.0,0.0,0.0,0.0,0.0,2.0,-0.1
669,670,2019,6,Detroit Red Wings,Moritz Seider,DE,D,18.0,2022.0,Adler Mannheim (Germany),82.0,7.0,43.0,50.0,-9.0,34.0,6.7
670,671,2019,7,Buffalo Sabres,Dylan Cozens,CA,C,18.0,2022.0,Lethbridge Hurricanes (WHL),120.0,17.0,34.0,51.0,-34.0,71.0,2.8
671,672,2019,8,Edmonton Oilers,Philip Broberg,SE,D,18.0,2022.0,AIK (Sweden-2),23.0,1.0,2.0,3.0,-8.0,8.0,0.0
672,673,2019,9,Anaheim Ducks,Trevor Zegras,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),99.0,26.0,48.0,74.0,-15.0,62.0,6.8
673,674,2019,10,Vancouver Canucks,Vasily Podkolzin,RU,RW,18.0,2022.0,SKA Neva St. Petersburg (Russia-2),79.0,14.0,12.0,26.0,7.0,26.0,2.5
674,675,2019,11,Arizona Coyotes,Victor Soderstrom,SE,D,18.0,2022.0,Brynas IF (Sweden),20.0,1.0,1.0,2.0,-3.0,6.0,0.5
675,676,2019,12,Minnesota Wild,Matthew Boldy,US,LW,18.0,2022.0,USA U-18 Development Team (USDP/USHL),47.0,15.0,24.0,39.0,17.0,10.0,4.3
676,677,2019,13,Florida Panthers,Spencer Knight,US,G,18.0,2022.0,USA U-18 Development Team (USDP/USHL),36.0,0.0,0.0,0.0,0.0,0.0,5.5
677,678,2019,14,Philadelphia Flyers,Cameron York,US,D,18.0,2022.0,USA U-18 Development Team (USDP/USHL),33.0,3.0,7.0,10.0,-15.0,6.0,0.8
678,679,2019,15,Montreal Canadiens,Cole Caufield,US,RW,18.0,2022.0,USA U-18 Development Team (USDP/USHL),77.0,27.0,21.0,48.0,-25.0,12.0,4.4
679,680,2019,16,Colorado Avalanche,Alex Newhook,CA,C,18.0,2022.0,Victoria (BCHL),77.0,13.0,23.0,36.0,16.0,14.0,3.3
680,681,2019,17,Vegas Golden Knights,Peyton Krebs,CA,C,18.0,2022.0,Kootenay Ice (WHL),61.0,7.0,16.0,23.0,-25.0,22.0,0.7
681,682,2019,18,Dallas Stars,Thomas Harley,US,D,18.0,2022.0,Mississauga Steelheads (OHL),34.0,1.0,3.0,4.0,-4.0,6.0,0.9
682,683,2019,19,Ottawa Senators,Lassi Thomson,FI,D,18.0,2022.0,Kelowna Rockets (WHL),16.0,0.0,5.0,5.0,-8.0,2.0,0.3
683,684,2019,20,Winnipeg Jets,Ville Heinola,FI,D,18.0,2022.0,Lukko (Finland),25.0,1.0,9.0,10.0,-1.0,16.0,1.3
685,686,2019,22,Los Angeles Kings,Tobias Bjornfot,SE,D,18.0,2022.0,Djurgardens IF Jr. (Sweden Jr.),106.0,1.0,13.0,14.0,-19.0,20.0,2.2
687,688,2019,24,Nashville Predators,Philip Tomasino,CA,C,18.0,2022.0,Niagara IceDogs (OHL),76.0,11.0,21.0,32.0,2.0,10.0,2.7
688,689,2019,25,Washington Capitals,Connor McMichael,CA,C,18.0,2022.0,London Knights (OHL),69.0,9.0,9.0,18.0,-3.0,12.0,1.3
690,691,2019,27,Tampa Bay Lightning,Nolan Foote,US,LW,18.0,2022.0,Kelowna Rockets (WHL),13.0,4.0,2.0,6.0,2.0,0.0,0.8
692,693,2019,29,Anaheim Ducks,Brayden Tracey,CA,LW,18.0,2022.0,Moose Jaw Warriors (WHL),1.0,0.0,0.0,0.0,-1.0,0.0,0.0
695,696,2019,32,Ottawa Senators,Shane Pinto,US,C,18.0,2022.0,Tri-City Storm (USHL),17.0,1.0,7.0,8.0,6.0,12.0,0.8
696,697,2019,33,Los Angeles Kings,Arthur Kaliyev,UZ,RW,18.0,2022.0,Hamilton Bulldogs (OHL),81.0,15.0,13.0,28.0,-4.0,37.0,2.6
697,698,2019,34,Philadelphia Flyers,Bobby Brink,US,RW,18.0,2022.0,Sioux City Musketeers (USHL),10.0,0.0,4.0,4.0,-5.0,0.0,0.0
699,700,2019,36,Carolina Hurricanes,Pyotr Kochetkov,RU,G,20.0,2022.0,HK Ryazan (Russia-2),3.0,0.0,0.0,0.0,0.0,0.0,0.3
703,704,2019,40,Vancouver Canucks,Nils Hoglander,SE,LW,18.0,2022.0,Rogle BK (Sweden),116.0,23.0,22.0,45.0,-11.0,40.0,4.0
704,705,2019,41,Vegas Golden Knights,Kaedan Korczak,CA,D,18.0,2022.0,Kelowna Rockets (WHL),1.0,0.0,0.0,0.0,1.0,0.0,0.1
706,707,2019,43,Chicago Blackhawks,Alex Vlasic,US,D,18.0,2022.0,USA U-18 Development Team (USDP/USHL),15.0,1.0,1.0,2.0,-2.0,2.0,0.4
711,712,2019,48,San Jose Sharks,Artemi Kniazev,RU,D,18.0,2022.0,Chicoutimi Sagueneens (QMJHL),1.0,0.0,0.0,0.0,-2.0,0.0,-0.1
713,714,2019,50,Los Angeles Kings,Samuel Fagemo,SE,LW,19.0,2022.0,Frolunda HC (Sweden),4.0,0.0,0.0,0.0,-2.0,0.0,-0.2
715,716,2019,52,Florida Panthers,Vladislav Kolyachonok,BY,D,18.0,2022.0,Flint Firebirds (OHL),32.0,1.0,2.0,3.0,0.0,6.0,1.0
716,717,2019,53,Toronto Maple Leafs,Nicholas Robertson,US,LW,18.0,2022.0,Peterborough Petes (OHL),16.0,1.0,1.0,2.0,-3.0,4.0,-0.1
719,720,2019,56,Washington Capitals,Brett Leason,CA,RW,20.0,2022.0,Prince Albert Raiders (WHL),36.0,3.0,3.0,6.0,1.0,4.0,0.4
724,725,2019,61,New Jersey Devils,Nikita Okhotyuk,RU,D,18.0,2022.0,Ottawa 67's (OHL),5.0,1.0,1.0,2.0,-2.0,2.0,0.2
727,728,2019,64,Montreal Canadiens,Mattias Norlinder,SE,D,19.0,2022.0,MODO Hockey Jr. (Sweden Jr.),6.0,0.0,1.0,1.0,2.0,2.0,0.3
731,732,2019,68,New York Rangers,Zachary Jones,US,D,18.0,2022.0,Tri-City Storm (USHL),22.0,0.0,6.0,6.0,-9.0,2.0,0.3
735,736,2019,72,Philadelphia Flyers,Ronald Attard,US,D,20.0,2022.0,Tri-City Storm (USHL),15.0,2.0,2.0,4.0,-2.0,8.0,0.7
738,739,2019,75,Minnesota Wild,Adam Beckman,CA,LW,18.0,2022.0,Spokane Chiefs (WHL),3.0,0.0,1.0,1.0,-1.0,2.0,0.0
742,743,2019,79,Vegas Golden Knights,Pavel Dorofeyev,RU,LW,18.0,2022.0,Metallurg Magnitogorsk (Russia),2.0,0.0,0.0,0.0,-1.0,2.0,-0.1
744,745,2019,81,Florida Panthers,Cole Schwindt,CA,RW,18.0,2022.0,Mississauga Steelheads (OHL),3.0,0.0,0.0,0.0,-4.0,0.0,-0.2
754,755,2019,91,Washington Capitals,Aliaksei Protas,BY,C,18.0,2022.0,Prince Albert Raiders (WHL),33.0,3.0,6.0,9.0,4.0,0.0,0.7
757,758,2019,94,Ottawa Senators,Viktor Lodin,SE,C,20.0,2022.0,Orebro HK (Sweden),1.0,0.0,0.0,0.0,0.0,0.0,0.0
758,759,2019,95,Los Angeles Kings,Jordan Spence,AU,D,18.0,2022.0,Moncton Wildcats (QMJHL),24.0,2.0,6.0,8.0,0.0,2.0,1.5
759,760,2019,96,New Jersey Devils,Tyce Thompson,US,RW,20.0,2022.0,Providence (H-East),9.0,0.0,1.0,1.0,-3.0,0.0,-0.2
761,762,2019,98,Arizona Coyotes,Matias Maccelli,FI,LW,18.0,2022.0,Dubuque Fighting Saints (USHL),23.0,1.0,5.0,6.0,-10.0,4.0,-0.2
787,788,2019,124,Toronto Maple Leafs,Nicholas Abruzzese,US,C,20.0,2022.0,Chicago Steel (USHL),9.0,1.0,0.0,1.0,-1.0,2.0,0.0
788,789,2019,125,Ottawa Senators,Mark Kastelic,US,C,20.0,2022.0,Calgary Hitmen (WHL),16.0,2.0,2.0,4.0,-1.0,14.0,0.3
847,848,2019,184,San Jose Sharks,Santeri Hatakka,FI,D,18.0,2022.0,Jokerit Jr. (Finland Jr.),9.0,0.0,2.0,2.0,-5.0,2.0,0.0
864,865,2019,201,Montreal Canadiens,Rafael Harvey-Pinard,CA,LW,20.0,2022.0,Rouyn-Noranda Huskies (QMJHL),4.0,1.0,0.0,1.0,-2.0,0.0,0.0
866,867,2019,203,Pittsburgh Penguins,Valtteri Puustinen,FI,RW,20.0,2022.0,HPK (Finland),1.0,0.0,1.0,1.0,2.0,0.0,0.2
881,882,2018,1,Buffalo Sabres,Rasmus Dahlin,SE,D,18.0,2022.0,Frolunda HC (Sweden),277.0,31.0,129.0,160.0,-78.0,166.0,20.8
882,883,2018,2,Carolina Hurricanes,Andrei Svechnikov,RU,RW,18.0,2022.0,Barrie Colts (OHL),283.0,89.0,120.0,209.0,29.0,239.0,23.1
883,884,2018,3,Montreal Canadiens,Jesperi Kotkaniemi,FI,C,18.0,2022.0,Assat (Finland),237.0,34.0,57.0,91.0,-8.0,98.0,6.8
884,885,2018,4,Ottawa Senators,Brady Tkachuk,US,LW,18.0,2022.0,Boston University (H-East),277.0,90.0,102.0,192.0,-48.0,367.0,18.6
885,886,2018,5,Arizona Coyotes,Barrett Hayton,CA,C,18.0,2022.0,Soo Greyhounds (OHL),94.0,13.0,18.0,31.0,-7.0,34.0,1.9
886,887,2018,6,Detroit Red Wings,Filip Zadina,CZ,RW,18.0,2022.0,Halifax Mooseheads (QMJHL),160.0,25.0,36.0,61.0,-46.0,12.0,3.2
887,888,2018,7,Vancouver Canucks,Quinn Hughes,US,D,18.0,2022.0,Michigan (Big Ten),205.0,19.0,146.0,165.0,-24.0,74.0,21.2
888,889,2018,8,Chicago Blackhawks,Adam Boqvist,SE,D,18.0,2022.0,Brynas IF Jr. (Sweden Jr.),128.0,17.0,34.0,51.0,-21.0,32.0,6.8
889,890,2018,9,New York Rangers,Vitali Kravtsov,RU,RW,18.0,2021.0,Traktor Chelyabinsk (Russia),20.0,2.0,2.0,4.0,-6.0,4.0,0.0
890,891,2018,10,Edmonton Oilers,Evan Bouchard,CA,D,18.0,2022.0,London Knights (OHL),102.0,15.0,34.0,49.0,3.0,32.0,7.6
891,892,2018,11,New York Islanders,Oliver Wahlstrom,US,RW,18.0,2022.0,USA U-18 Development Team (USDP/USHL),126.0,25.0,20.0,45.0,-6.0,99.0,4.7
892,893,2018,12,New York Islanders,Noah Dobson,CA,D,18.0,2022.0,Acadie-Bathurst Titan (QMJHL),160.0,17.0,55.0,72.0,-3.0,34.0,12.5
893,894,2018,13,Dallas Stars,Ty Dellandrea,CA,C,18.0,2022.0,Flint Firebirds (OHL),27.0,3.0,2.0,5.0,-1.0,23.0,0.3
894,895,2018,14,Philadelphia Flyers,Joel Farabee,US,LW,18.0,2022.0,USA U-18 Development Team (USDP/USHL),170.0,45.0,48.0,93.0,-5.0,117.0,9.1
895,896,2018,15,Florida Panthers,Grigori Denisenko,RU,LW,18.0,2022.0,Loko Yaroslavl (Russia Jr.),8.0,0.0,4.0,4.0,1.0,4.0,0.3
896,897,2018,16,Colorado Avalanche,Martin Kaut,CZ,RW,18.0,2022.0,HC Dynamo Pardubice (Czech),20.0,2.0,1.0,3.0,0.0,6.0,0.2
897,898,2018,17,New Jersey Devils,Ty Smith,CA,D,18.0,2022.0,Spokane Chiefs (WHL),114.0,7.0,36.0,43.0,-35.0,44.0,4.3
898,899,2018,18,Columbus Blue Jackets,Liam Foudy,CA,C,18.0,2022.0,London Knights (OHL),27.0,0.0,5.0,5.0,0.0,6.0,0.0
900,901,2018,20,Los Angeles Kings,Rasmus Kupari,FI,C,18.0,2022.0,Karpat (Finland),64.0,6.0,8.0,14.0,-10.0,20.0,0.5
901,902,2018,21,San Jose Sharks,Ryan Merkley,CA,D,18.0,2022.0,Guelph Storm (OHL),39.0,1.0,5.0,6.0,-10.0,8.0,0.9
902,903,2018,22,New York Rangers,K'Andre Miller,US,D,18.0,2022.0,USA U-18 Development Team (USDP/USHL),135.0,12.0,20.0,32.0,32.0,44.0,9.6
903,904,2018,23,Anaheim Ducks,Isac Lundestrom,SE,C,18.0,2022.0,Lulea HF (Sweden),151.0,22.0,22.0,44.0,-15.0,24.0,2.6
906,907,2018,26,Ottawa Senators,Jacob Bernard-Docker,CA,D,18.0,2022.0,Okotoks (AJHL),13.0,0.0,1.0,1.0,3.0,4.0,0.5
907,908,2018,27,Chicago Blackhawks,Nicolas Beaudin,CA,D,18.0,2022.0,Drummondville Voltigeurs (QMJHL),22.0,2.0,4.0,6.0,1.0,2.0,1.2
908,909,2018,28,New York Rangers,Nils Lundkvist,SE,D,18.0,2022.0,Lulea HF (Sweden),25.0,1.0,3.0,4.0,4.0,0.0,1.2
909,910,2018,29,Toronto Maple Leafs,Rasmus Sandin,SE,D,18.0,2022.0,Soo Greyhounds (OHL),88.0,6.0,22.0,28.0,8.0,14.0,4.4
910,911,2018,30,Detroit Red Wings,Joseph Veleno,CA,C,18.0,2022.0,Drummondville Voltigeurs (QMJHL),71.0,9.0,7.0,16.0,-14.0,26.0,0.4
911,912,2018,31,Washington Capitals,Alexander Alexeyev,RU,D,18.0,2022.0,Red Deer Rebels (WHL),1.0,0.0,0.0,0.0,0.0,2.0,0.0
912,913,2018,32,Buffalo Sabres,Mattias Samuelsson,US,D,18.0,2022.0,USA U-18 Development Team (USDP/USHL),54.0,0.0,12.0,12.0,-18.0,20.0,1.1
915,916,2018,35,Montreal Canadiens,Jesse Ylonen,US,RW,18.0,2022.0,Espoo United (Finland-2),15.0,2.0,3.0,5.0,2.0,2.0,0.5
918,919,2018,38,Montreal Canadiens,Alexander Romanov,RU,D,18.0,2022.0,Krasnaya Armiya Moskva (Russia Jr.),133.0,4.0,15.0,19.0,-8.0,74.0,3.7
920,921,2018,40,Edmonton Oilers,Ryan McLeod,CA,C,18.0,2022.0,Mississauga Steelheads (OHL),81.0,9.0,13.0,22.0,-4.0,12.0,1.0
922,923,2018,42,Carolina Hurricanes,Jack Drury,US,C,18.0,2022.0,Waterloo Black Hawks (USHL),2.0,2.0,0.0,2.0,3.0,2.0,0.4
925,926,2018,45,St. Louis Blues,Scott Perunovich,US,D,20.0,2022.0,Minnesota-Duluth (NCHC),19.0,0.0,6.0,6.0,2.0,8.0,0.9
926,927,2018,46,Washington Capitals,Martin Fehervary,SK,D,18.0,2022.0,IK Oskarshamn (Sweden-2),85.0,8.0,10.0,18.0,13.0,32.0,4.7
932,933,2018,52,Toronto Maple Leafs,Sean Durzi,CA,D,19.0,2022.0,Owen Sound Attack (OHL),64.0,3.0,24.0,27.0,-9.0,55.0,3.6
933,934,2018,53,Pittsburgh Penguins,Calen Addison,CA,D,18.0,2022.0,Lethbridge Hurricanes (WHL),18.0,2.0,2.0,4.0,-4.0,2.0,0.3
934,935,2018,54,Anaheim Ducks,Benoit-Olivier Groulx,CA,C,18.0,2022.0,Halifax Mooseheads (QMJHL),18.0,1.0,2.0,3.0,0.0,2.0,0.1
935,936,2018,55,Arizona Coyotes,Kevin Bahl,CA,D,18.0,2022.0,Ottawa 67's (OHL),24.0,1.0,5.0,6.0,-6.0,10.0,0.6
938,939,2018,58,Pittsburgh Penguins,Filip Hallander,SE,C,18.0,2022.0,Timra IK (Sweden-2),1.0,0.0,0.0,0.0,0.0,0.0,0.0
939,940,2018,59,Tampa Bay Lightning,Gabriel Fortier,CA,LW,18.0,2022.0,Baie-Comeau Drakkar (QMJHL),10.0,1.0,0.0,1.0,-2.0,4.0,0.0
940,941,2018,60,Winnipeg Jets,David Gustafsson,SE,C,18.0,2022.0,HV71 (Sweden),28.0,1.0,0.0,1.0,-3.0,0.0,-0.2
943,944,2018,63,Minnesota Wild,Jack McBain,CA,C,18.0,2022.0,Toronto (OJHL),10.0,2.0,1.0,3.0,-6.0,6.0,0.0
944,945,2018,64,Colorado Avalanche,Justus Annunen,FI,G,18.0,2022.0,Karpat Jr. (Finland Jr.),2.0,0.0,1.0,1.0,0.0,0.0,0.1
945,946,2018,65,Arizona Coyotes,Jan Jenik,CZ,RW,18.0,2022.0,HC Benatky nad Jizerou (Czech-2),15.0,4.0,1.0,5.0,-3.0,11.0,0.5
946,947,2018,66,Montreal Canadiens,Cameron Hillis,CA,C,18.0,2022.0,Guelph Storm (OHL),1.0,0.0,0.0,0.0,0.0,0.0,0.0
947,948,2018,67,Detroit Red Wings,Alec Regula,US,D,18.0,2022.0,London Knights (OHL),18.0,1.0,0.0,1.0,-2.0,12.0,0.4
951,952,2018,71,Montreal Canadiens,Jordan Harris,US,D,18.0,2022.0,Kimball Union Academy (High-NH),10.0,1.0,0.0,1.0,3.0,8.0,0.5
958,959,2018,78,Colorado Avalanche,Sampo Ranta,FI,LW,18.0,2022.0,Sioux City Musketeers (USHL),10.0,0.0,0.0,0.0,-4.0,2.0,-0.3
965,966,2018,85,Anaheim Ducks,Lukas Dostal,CZ,G,18.0,2022.0,SK Horacka Slavia Trebic (Czech-2),4.0,0.0,0.0,0.0,0.0,0.0,0.6
968,969,2018,88,New York Rangers,Joey Keane,US,D,19.0,2022.0,Barrie Colts (OHL),2.0,0.0,0.0,0.0,-1.0,2.0,0.0
971,972,2018,91,Winnipeg Jets,Nathan Smith,US,C,19.0,2022.0,Cedar Rapids RoughRiders (USHL),10.0,2.0,2.0,4.0,-1.0,2.0,0.3
972,973,2018,92,Minnesota Wild,Connor Dewar,CA,C,19.0,2022.0,Everett Silvertips (WHL),35.0,2.0,4.0,6.0,-4.0,25.0,-0.1
982,983,2018,102,San Jose Sharks,Jasper Weatherby,US,C,20.0,2022.0,Wenatchee (BCHL),50.0,5.0,6.0,11.0,-14.0,18.0,0.3
987,988,2018,107,St. Louis Blues,Joel Hofer,CA,G,18.0,2022.0,Swift Current Broncos (WHL),2.0,0.0,1.0,1.0,0.0,0.0,0.1
994,995,2018,114,Arizona Coyotes,Ivan Prosvetov,RU,G,19.0,2022.0,Youngstown Phantoms (USHL),6.0,0.0,0.0,0.0,0.0,0.0,0.1
995,996,2018,115,Vegas Golden Knights,Paul Cotter,US,C,18.0,2022.0,Lincoln Stars (USHL),7.0,2.0,0.0,2.0,1.0,6.0,0.3
1000,1001,2018,120,Chicago Blackhawks,Philipp Kurashev,CH,C,18.0,2022.0,Quebec Remparts (QMJHL),121.0,14.0,23.0,37.0,-25.0,24.0,1.8
1016,1017,2018,136,New Jersey Devils,Akira Schmid,CH,G,18.0,2022.0,Langnau Jr. (Swiss Jr.),6.0,0.0,0.0,0.0,0.0,0.0,-0.2
1017,1018,2018,137,Dallas Stars,Riley Damiani,CA,C,18.0,2022.0,Kitchener Rangers (OHL),7.0,1.0,1.0,2.0,0.0,2.0,0.2
1021,1022,2018,141,New Jersey Devils,Yegor Sharangovich,BY,C,20.0,2022.0,Dinamo Minsk (Russia),130.0,40.0,36.0,76.0,-18.0,27.0,7.2
1030,1031,2018,150,Winnipeg Jets,Declan Chisholm,CA,D,18.0,2022.0,Peterborough Petes (OHL),2.0,0.0,0.0,0.0,1.0,0.0,0.1
1058,1059,2018,178,Anaheim Ducks,Hunter Drew,CA,D,19.0,2022.0,Charlottetown Islanders (QMJHL),2.0,0.0,0.0,0.0,0.0,5.0,0.0
1062,1063,2018,182,San Jose Sharks,John Leonard,US,LW,20.0,2022.0,Massachusetts (H-East),58.0,4.0,11.0,15.0,-12.0,2.0,0.5
1073,1074,2018,193,Chicago Blackhawks,Josiah Slavin,US,LW,19.0,2022.0,Lincoln Stars (USHL),15.0,0.0,1.0,1.0,0.0,4.0,-0.2
1084,1085,2018,204,Columbus Blue Jackets,Trey Fix-Wolansky,CA,RW,19.0,2022.0,Edmonton Oil Kings (WHL),6.0,1.0,1.0,2.0,-1.0,0.0,0.2
1098,1099,2017,1,New Jersey Devils,Nico Hischier,CH,C,18.0,2022.0,Halifax Mooseheads (QMJHL),300.0,78.0,128.0,206.0,-16.0,83.0,19.8
1099,1100,2017,2,Philadelphia Flyers,Nolan Patrick,CA,C,18.0,2022.0,Brandon Wheat Kings (WHL),222.0,32.0,45.0,77.0,-36.0,83.0,4.1
1100,1101,2017,3,Dallas Stars,Miro Heiskanen,FI,D,18.0,2022.0,HIFK (Finland),275.0,33.0,98.0,131.0,-6.0,64.0,25.5
1101,1102,2017,4,Colorado Avalanche,Cale Makar,CA,D,18.0,2022.0,Brooks (AJHL),178.0,48.0,132.0,180.0,77.0,50.0,30.2
1102,1103,2017,5,Vancouver Canucks,Elias Pettersson,SE,C,18.0,2022.0,Timra IK (Sweden-2),245.0,97.0,124.0,221.0,20.0,48.0,25.4
1103,1104,2017,6,Vegas Golden Knights,Cody Glass,CA,C,18.0,2022.0,Portland Winterhawks (WHL),74.0,9.0,14.0,23.0,-1.0,14.0,1.5
1104,1105,2017,7,New York Rangers,Lias Andersson,SE,C,18.0,2022.0,HV71 (Sweden),109.0,7.0,10.0,17.0,-31.0,57.0,-0.6
1105,1106,2017,8,Buffalo Sabres,Casey Mittelstadt,US,C,18.0,2022.0,Eden Priarie HS (High-MN),195.0,33.0,47.0,80.0,-47.0,28.0,5.5
1106,1107,2017,9,Detroit Red Wings,Michael Rasmussen,CA,C,18.0,2022.0,Tri-City Americans (WHL),182.0,26.0,31.0,57.0,-38.0,121.0,2.8
1107,1108,2017,10,Florida Panthers,Owen Tippett,CA,RW,18.0,2022.0,Mississauga Steelheads (OHL),115.0,18.0,22.0,40.0,-13.0,18.0,2.7
